Sun Jul  5 22:11:38 2026    profile.prof

         5343471 function calls (5336900 primitive calls) in 66.418 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.287    0.096 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axes\_base.py:3161(draw)
        1    0.002    0.002    0.266    0.266 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\statistics.py:100(works_stats)
    41/13    0.001    0.000    0.211    0.016 <frozen importlib._bootstrap>:1022(_find_and_load)
    41/13    0.000    0.000    0.211    0.016 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    33/12    0.000    0.000    0.203    0.017 <frozen importlib._bootstrap>:664(_load_unlocked)
    28/11    0.000    0.000    0.199    0.018 <frozen importlib._bootstrap_external>:877(exec_module)
    55/12    0.000    0.000    0.191    0.016 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    77/53    0.001    0.000    0.183    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    17/10    0.000    0.000    0.182    0.018 {built-in method builtins.__import__}
        3    0.000    0.000    0.181    0.060 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\pyplot.py:525(_warn_if_gui_out_of_main_thread)
        9    0.000    0.000    0.181    0.020 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\pyplot.py:358(_get_backend_mod)
      6/1    0.000    0.000    0.181    0.181 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\pyplot.py:372(switch_backend)
        6    0.000    0.000    0.179    0.030 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\importlib\__init__.py:108(import_module)
        6    0.000    0.000    0.179    0.030 <frozen importlib._bootstrap>:1038(_gcd_import)
        5    0.000    0.000    0.178    0.036 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backends\registry.py:302(load_backend_module)
      575    0.166    0.000    0.170    0.000 {method 'call' of '_tkinter.tkapp' objects}
        3    0.000    0.000    0.144    0.048 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axes\_base.py:3090(_update_title_position)
        1    0.000    0.000    0.130    0.130 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backends\backend_tkagg.py:1(<module>)
        1    0.000    0.000    0.127    0.127 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backends\_backend_tk.py:1(<module>)
        3    0.000    0.000    0.123    0.041 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:1337(get_tightbbox)
        6    0.000    0.000    0.120    0.020 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:1396(draw)
       27    0.002    0.000    0.117    0.004 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:1276(_update_ticks)
   226872    0.085    0.000    0.085    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\statistics.py:29(<lambda>)
        9    0.000    0.000    0.084    0.009 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\figure.py:1715(gca)
        3    0.000    0.000    0.084    0.028 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\figure.py:651(add_subplot)
        3    0.000    0.000    0.083    0.028 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backends\_backend_tk.py:507(__init__)
        3    0.000    0.000    0.083    0.028 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axes\_base.py:615(__init__)
        3    0.001    0.000    0.082    0.027 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backend_bases.py:2611(__init__)
       99    0.002    0.000    0.081    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\text.py:926(get_window_extent)
      120    0.011    0.000    0.081    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\text.py:358(_get_layout)
        3    0.001    0.000    0.081    0.027 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backends\_backend_tk.py:650(__init__)
       33    0.000    0.000    0.079    0.002 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:1585(_get_tick)
        1    0.002    0.002    0.077    0.077 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\analysis.py:111(similarity_comparison)
       27    0.000    0.000    0.073    0.003 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:1644(get_major_ticks)
       21    0.001    0.000    0.070    0.003 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backends\_backend_tk.py:855(_Button)
        9    0.000    0.000    0.066    0.007 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\analysis.py:69(similarity)
        3    0.000    0.000    0.064    0.021 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axes\_base.py:1445(clear)
        3    0.000    0.000    0.064    0.021 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axes\_base.py:1313(__clear)
       33    0.000    0.000    0.062    0.002 <frozen importlib._bootstrap>:564(module_from_spec)
        6    0.000    0.000    0.060    0.010 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:2665(_update_label_position)
       21    0.003    0.000    0.060    0.003 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backends\_backend_tk.py:776(_set_image_for_button)
      503    0.059    0.000    0.059    0.000 {method 'count' of 'str' objects}
       33    0.002    0.000    0.059    0.002 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:59(__init__)
        5    0.000    0.000    0.059    0.012 <frozen importlib._bootstrap_external>:1174(create_module)
        5    0.059    0.012    0.059    0.012 {built-in method _imp.create_dynamic}
        5    0.000    0.000    0.059    0.012 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\statistics.py:9(count_lines)
        1    0.000    0.000    0.058    0.058 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:1(<module>)
        3    0.000    0.000    0.057    0.019 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\image.py:1526(imsave)
       18    0.000    0.000    0.057    0.003 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:1328(_get_ticklabel_bboxes)
       18    0.000    0.000    0.057    0.003 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:1332(<listcomp>)
       24    0.001    0.000    0.056    0.002 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:428(__init__)
       48    0.001    0.000    0.056    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\PIL\ImageTk.py:93(__init__)
        3    0.000    0.000    0.055    0.018 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\PIL\Image.py:2592(save)
       28    0.001    0.000    0.054    0.002 <frozen importlib._bootstrap_external>:950(get_code)
      240    0.001    0.000    0.053    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\text.py:65(_get_text_metrics_with_cache)
       69    0.002    0.000    0.050    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\text.py:738(draw)
       48    0.000    0.000    0.048    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\PIL\ImageTk.py:171(paste)
       24    0.000    0.000    0.047    0.002 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:268(draw)
        9    0.000    0.000    0.047    0.005 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:2223(_get_tick_boxes_siblings)
        3    0.000    0.000    0.046    0.015 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2133(wm_iconphoto)
        5    0.000    0.000    0.044    0.009 <frozen importlib._bootstrap_external>:1182(exec_module)
        5    0.044    0.009    0.044    0.009 {built-in method _imp.exec_dynamic}
       36    0.000    0.000    0.042    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\text.py:73(_get_text_metrics_with_cache_impl)
       36    0.020    0.001    0.042    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backends\backend_agg.py:206(get_text_width_height_descent)
        3    0.000    0.000    0.039    0.013 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\pyplot.py:1170(close)
       48    0.000    0.000    0.039    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\PIL\ImageTk.py:54(_pyimagingtkcall)
        3    0.000    0.000    0.039    0.013 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\_pylab_helpers.py:44(destroy)
        3    0.000    0.000    0.039    0.013 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backends\_backend_tk.py:612(destroy)
       28    0.000    0.000    0.038    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
        3    0.000    0.000    0.035    0.012 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backends\_backend_tk.py:625(delayed_destroy)
        3    0.000    0.000    0.035    0.012 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2337(destroy)
        3    0.000    0.000    0.030    0.010 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\PIL\PngImagePlugin.py:1328(_save)
     39/6    0.000    0.000    0.030    0.005 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2606(destroy)
        3    0.000    0.000    0.030    0.010 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\PIL\ImageFile.py:644(_save)
